time, x accl, y accl, z accl, gyro x, gyro y, gyro z, pressure
7323,-0.18,0.11,9.90,-0.01,-0.08,0.02,1019.73
7345,-0.09,0.07,9.79,-0.01,0.01,0.01,1019.73
7366,-0.15,0.08,9.88,-0.02,0.05,0.01,1019.71
7388,-0.17,0.07,9.94,-0.02,0.08,0.00,1019.71
7410,-0.16,0.05,10.09,-0.01,0.09,0.00,1019.73
7431,-0.11,0.20,10.15,0.02,0.10,-0.00,1019.73
7453,-0.09,0.24,10.16,0.02,0.10,-0.01,1019.71
7475,-0.11,0.23,10.13,0.02,0.08,-0.02,1019.71
7496,-0.05,0.29,10.10,0.01,0.05,-0.02,1019.71
7518,-0.07,0.20,10.13,-0.00,0.01,-0.03,1019.71
7545,0.08,0.30,10.05,-0.00,-0.03,-0.04,1019.70
7566,-0.00,0.20,10.03,-0.01,-0.05,-0.05,1019.71
7588,0.09,0.25,10.11,-0.01,-0.05,-0.05,1019.71
7610,0.11,0.33,10.05,-0.02,-0.01,-0.05,1019.71
7632,-0.10,0.23,10.28,-0.04,0.04,-0.06,1019.71
7653,-0.09,0.27,10.33,-0.04,0.07,-0.07,1019.75
7675,-0.14,0.23,10.16,-0.02,0.05,-0.07,1019.75
7697,-0.01,0.19,10.04,0.01,0.00,-0.07,1019.76
7719,0.01,0.23,9.85,-0.00,-0.01,-0.07,1019.76
7741,0.04,0.17,9.69,-0.02,-0.06,-0.06,1019.73
7762,0.14,0.14,9.62,-0.03,-0.09,-0.04,1019.73
7788,0.26,0.19,9.60,-0.05,-0.08,-0.02,1019.71
7808,0.33,0.17,9.62,-0.06,-0.06,-0.00,1019.73
7829,0.40,0.26,9.70,-0.07,-0.00,0.00,1019.73
7849,0.28,0.36,9.76,-0.09,0.08,0.01,1019.71
7870,0.25,0.37,9.84,-0.07,0.06,0.01,1019.71
7891,0.40,0.35,9.93,-0.04,0.01,0.03,1019.71
7911,0.60,0.39,9.74,0.00,-0.01,0.03,1019.71
7932,0.60,0.51,9.57,-0.01,0.02,0.02,1019.73
7952,0.66,0.66,9.70,-0.03,0.05,0.02,1019.73
7973,0.84,0.59,9.78,-0.07,0.17,0.04,1019.75
7993,1.01,0.53,9.93,-0.08,0.17,0.05,1019.75
8019,1.29,0.41,10.08,-0.07,0.13,0.05,1019.75
8041,1.85,0.47,10.34,-0.05,0.10,0.04,1019.75
8062,2.48,0.50,10.33,-0.04,0.07,0.02,1019.70
8084,3.06,0.44,10.34,-0.02,0.06,0.00,1019.70
8106,3.95,0.21,10.16,0.09,0.05,-0.00,1019.72
8128,4.62,0.17,9.04,0.20,0.10,-0.02,1019.74
8149,5.04,0.38,7.41,0.19,0.23,-0.06,1019.74
8171,9.39,0.85,11.67,0.08,0.59,-0.54,1019.70
8193,4.40,0.37,4.69,-0.12,0.22,-0.14,1019.70
8215,2.90,-0.62,3.48,-0.18,0.16,-0.12,1019.74
8237,1.79,-0.28,2.34,-0.22,0.14,-0.05,1019.74
8262,-0.03,-0.06,0.98,-0.23,0.08,0.05,1019.70
8283,-0.06,-0.17,1.28,-0.06,-0.18,0.05,1019.70
8303,-0.16,-0.18,1.28,0.12,-0.43,0.05,1019.70
8324,-0.09,-0.15,1.40,0.28,-0.70,0.06,1019.70
8344,-0.11,-0.16,1.59,0.52,-1.14,0.07,1019.66
8365,-0.11,-0.15,1.72,0.68,-1.45,0.07,1019.66
8386,-0.10,-0.12,1.90,0.84,-1.76,0.08,1019.70
8406,-0.06,-0.11,1.98,0.99,-2.07,0.10,1019.70
8427,-0.03,-0.08,2.08,1.12,-2.38,0.11,1019.64
8447,-0.00,-0.07,2.20,1.22,-2.66,0.13,1019.88
8468,0.05,-0.06,2.43,1.34,-3.05,0.16,1019.88
8493,0.11,-0.01,2.45,1.40,-3.26,0.18,1019.67
8515,0.24,0.04,2.36,1.40,-3.46,0.22,1019.67
8537,0.27,0.02,2.40,1.37,-3.51,0.25,1019.67
8559,0.29,0.03,2.41,1.32,-3.52,0.27,1019.67
8580,0.34,0.01,2.41,1.26,-3.47,0.30,1019.41
8602,0.38,0.05,2.37,1.10,-3.28,0.34,1019.41
