time, x accl, y accl, z accl, gyro x, gyro y, gyro z, pressure
8624,0.41,0.06,2.39,0.95,-3.09,0.36,1019.75
8646,0.40,0.06,2.72,0.81,-2.86,0.38,1019.75
8668,22.94,17.83,-27.14,-1.25,-2.25,1.63,1019.72
8689,17.69,-14.61,20.65,-14.86,21.85,7.03,1019.79
8711,3.40,-12.18,13.19,3.15,27.78,7.48,1019.79
8737,-7.58,-1.93,8.67,-1.82,-2.79,-1.71,1019.91
8758,-4.15,0.56,4.69,-0.65,-0.25,-0.81,1019.91
8778,-0.46,0.42,9.24,-0.88,0.66,-0.48,1019.86
8799,0.00,1.83,7.95,-0.41,0.86,-0.32,1019.86
8819,1.15,1.19,10.37,0.11,0.33,-0.20,1019.86
8840,-0.85,-2.34,11.49,0.15,-0.23,0.13,1019.86
8860,0.50,-0.36,10.56,0.60,-0.83,0.20,1019.86
8881,-0.69,1.42,9.32,1.55,-1.22,0.03,1019.86
8901,4.21,5.69,2.28,0.64,0.31,0.04,1019.84
8922,1.02,1.57,6.62,-0.54,0.40,0.12,1019.84
8942,0.64,1.34,9.70,-0.51,0.03,0.05,1019.86
8968,0.39,0.93,11.20,0.22,-0.10,-0.05,1019.86
8990,0.47,0.60,9.05,0.22,-0.03,-0.01,1019.85
9012,1.04,0.54,10.28,-0.10,0.05,0.02,1019.82
9033,0.36,0.39,10.66,0.02,-0.03,-0.02,1019.82
9055,1.09,0.52,9.78,-0.00,-0.01,0.02,1019.86
9077,0.67,0.60,10.09,0.00,-0.00,0.00,1019.86
9098,0.81,0.60,9.90,-0.01,0.01,0.01,1019.84
9120,0.71,0.58,10.01,0.00,0.00,0.00,1019.84
9142,0.78,0.59,9.91,-0.01,0.01,0.00,1019.86
9164,0.77,0.60,9.90,-0.00,0.00,0.01,1019.86
9185,0.72,0.58,9.96,-0.00,0.01,0.01,1019.88
9211,0.74,0.58,9.96,-0.00,0.00,0.01,1019.86
9232,0.76,0.58,9.94,-0.00,0.00,0.00,1019.86
9252,0.75,0.58,9.94,-0.00,0.00,0.01,1019.87
9273,0.75,0.57,9.94,-0.00,0.00,0.01,1019.87
9293,0.74,0.58,9.94,-0.00,0.00,0.00,1019.85
9314,0.75,0.59,9.95,-0.00,0.00,0.01,1019.85
9334,0.74,0.57,9.93,-0.00,0.00,0.01,1019.84
9355,0.74,0.57,9.94,-0.00,0.00,0.00,1019.84
9375,0.75,0.58,9.94,-0.00,0.00,0.01,1019.87
9396,0.74,0.58,9.94,-0.00,0.00,0.01,1019.87
9416,0.76,0.57,9.93,-0.00,0.00,0.01,1019.85
9437,0.74,0.58,9.94,-0.00,0.00,0.00,1019.85
9462,0.74,0.58,9.94,-0.00,0.00,0.00,1019.87
9484,0.75,0.57,9.94,-0.00,0.00,0.00,1019.87
9506,0.74,0.59,9.94,-0.00,0.00,0.01,1019.85
9538,0.75,0.58,9.94,-0.00,0.00,0.01,1019.84
9560,0.75,0.58,9.95,-0.00,0.00,0.01,1019.84
9582,0.75,0.59,9.94,-0.00,0.00,0.00,1019.87
9604,0.75,0.57,9.95,-0.00,0.00,0.01,1019.87
9626,0.74,0.59,9.94,-0.00,0.00,0.01,1019.85
9648,0.75,0.57,9.94,-0.00,0.00,0.01,1019.85
9669,0.75,0.58,9.95,-0.00,0.00,0.01,1019.83
9691,0.74,0.58,9.95,-0.00,0.00,0.00,1019.83
9717,0.74,0.57,9.94,-0.00,0.00,0.01,1019.83
9737,0.74,0.58,9.95,-0.00,0.00,0.01,1019.84
9758,0.73,0.59,9.95,-0.00,0.00,0.00,1019.84
9778,0.75,0.58,9.95,-0.00,0.00,0.00,1019.87
9799,0.75,0.57,9.95,-0.00,0.00,0.01,1019.87
9819,0.75,0.58,9.95,-0.00,0.00,0.00,1019.85
9840,0.74,0.58,9.94,-0.00,0.00,0.01,1019.85
9861,0.74,0.57,9.95,-0.00,0.00,0.01,1019.82
9881,0.75,0.59,9.95,-0.00,0.00,0.01,1019.82
9902,0.75,0.58,9.96,-0.00,0.00,0.01,1019.85
9922,0.74,0.59,9.96,-0.00,0.00,0.01,1019.85
9948,0.75,0.57,9.97,-0.00,0.01,0.01,1019.83
9969,0.74,0.58,9.96,-0.00,0.00,0.00,1019.83
9991,0.75,0.59,9.97,-0.00,0.00,0.01,1019.83
10013,0.75,0.59,9.97,-0.00,0.00,0.01,1019.83
10035,0.75,0.58,9.97,-0.00,0.00,0.01,1019.82
10057,0.74,0.59,9.97,-0.00,0.00,0.01,1019.87
10078,0.76,0.58,9.97,-0.00,0.00,0.01,1019.87
10100,0.75,0.57,9.96,-0.00,0.00,0.01,1019.85
10122,0.75,0.59,9.96,-0.00,0.00,0.01,1019.85
10144,0.75,0.59,9.96,-0.00,0.00,0.01,1019.85
10166,0.75,0.58,9.97,-0.00,0.00,0.00,1019.85
10187,0.75,0.58,9.97,-0.00,0.00,0.01,1019.84
10213,0.74,0.59,9.97,-0.00,0.00,0.01,1019.84
10234,0.75,0.59,9.97,-0.00,0.00,0.01,1019.86
10254,0.74,0.58,9.97,-0.00,0.00,0.00,1019.86
10275,0.75,0.59,9.97,-0.00,0.00,0.01,1019.83
10295,0.75,0.58,9.97,-0.00,0.00,0.01,1019.83
10316,0.76,0.58,9.97,-0.00,0.00,0.01,1019.87
10336,0.76,0.58,9.97,-0.00,0.00,0.01,1019.85
10357,0.75,0.59,9.97,-0.00,0.00,0.00,1019.85
10377,0.73,0.58,9.97,-0.00,0.00,0.01,1019.84
10398,0.74,0.58,9.98,-0.00,0.00,0.00,1019.84
10418,0.75,0.58,9.97,-0.00,0.00,0.01,1019.85
10444,0.75,0.59,9.97,-0.00,0.00,0.01,1019.85
10466,0.75,0.59,9.97,-0.00,0.00,0.01,1019.86
10488,0.76,0.58,9.97,-0.00,0.01,0.01,1019.86
10509,0.76,0.58,9.98,-0.00,0.00,0.00,1019.81
10531,0.75,0.59,9.98,-0.00,0.00,0.01,1019.81
10553,0.75,0.59,9.98,-0.00,0.00,0.00,1019.84
10575,0.74,0.58,9.98,-0.00,0.00,0.00,1019.84
10596,0.76,0.59,9.98,-0.00,0.00,0.01,1019.83
10618,0.75,0.58,9.98,-0.00,0.00,0.01,1019.85
10640,0.75,0.59,9.97,-0.00,0.01,0.00,1019.85
10662,0.76,0.57,9.98,-0.00,0.00,0.01,1019.83
10687,0.75,0.57,9.98,-0.00,0.00,0.00,1019.83
10708,0.75,0.57,9.99,-0.00,0.00,0.00,1019.84
10728,0.74,0.58,9.99,-0.00,0.00,0.01,1019.84
10749,1.21,0.90,8.62,-0.03,-0.06,-0.00,1019.84
10769,0.69,0.57,10.24,-0.16,-0.19,-0.05,1019.84
10790,-0.49,0.94,6.79,0.05,0.08,-0.00,1019.89
10811,1.17,0.37,10.95,-0.01,-0.00,0.01,1019.89
10831,0.65,0.46,10.06,0.01,0.04,0.03,1019.83
10852,1.02,0.46,10.44,0.02,0.00,0.00,1019.83
10872,0.63,0.28,9.91,0.01,0.04,0.02,1019.86
10893,0.97,0.80,9.82,0.02,0.02,0.02,1019.86
10918,0.77,0.71,9.90,0.00,0.03,0.01,1019.84
10940,0.72,0.58,10.09,-0.00,-0.00,0.00,1019.83
10962,0.74,0.53,9.96,-0.00,0.00,0.00,1019.83
10984,0.75,0.56,9.97,-0.00,0.01,0.01,1019.83
11005,0.78,0.54,9.98,-0.00,0.00,0.01,1019.83
11027,0.79,0.54,10.01,-0.00,0.00,0.00,1019.86
11049,1.02,0.80,9.56,-0.01,-0.00,0.00,1019.86
11071,0.78,0.33,10.24,-0.05,-0.01,-0.04,1019.84
11092,0.38,0.50,10.22,-0.01,0.04,-0.00,1019.84
11114,0.73,0.55,9.91,0.01,0.02,0.01,1019.86
11136,0.78,0.55,9.98,0.00,0.01,0.01,1019.86
11161,0.78,0.54,10.03,-0.00,0.00,0.01,1019.85
11182,0.84,0.60,9.89,-0.00,-0.01,0.01,1019.83
11203,0.70,0.53,9.96,-0.01,0.00,0.00,1019.83
11223,0.73,0.56,10.10,0.00,0.01,0.01,1019.83
11244,0.79,0.57,9.97,-0.00,0.01,0.01,1019.83
11264,0.69,0.57,9.99,0.00,0.01,0.01,1019.83
11285,0.82,0.56,9.98,-0.00,0.00,0.01,1019.83
11305,0.74,0.53,10.05,-0.00,0.01,0.01,1019.85
11326,0.81,0.53,10.02,-0.00,0.01,0.01,1019.85
11346,0.73,0.55,9.94,-0.00,0.00,0.01,1019.87
11367,0.82,0.56,10.10,-0.00,-0.00,0.01,1019.87
11393,0.48,0.68,8.69,-0.03,0.05,0.01,1019.86
11414,0.42,0.63,9.84,-0.19,0.13,0.05,1019.86
11436,1.29,-0.02,11.96,-0.11,0.10,0.05,1019.82
11458,0.86,0.55,9.31,-0.03,0.09,-0.00,1019.82
11479,0.65,0.86,9.71,-0.12,0.22,0.02,1019.83
11501,0.57,0.05,10.97,-0.09,0.10,0.02,1019.83
11523,1.22,0.70,9.66,0.03,-0.05,-0.01,1019.83
11544,0.60,0.38,9.89,-0.03,-0.07,-0.04,1019.84
11566,0.64,0.50,9.98,-0.02,-0.06,-0.03,1019.84
11588,0.78,0.47,9.77,-0.04,-0.08,-0.03,1019.85
11610,0.61,0.42,10.14,-0.02,0.00,0.02,1019.85
11635,0.74,0.47,9.98,-0.02,0.03,0.03,1019.84
11656,0.80,0.42,10.18,-0.02,0.03,0.04,1019.84
11676,0.44,0.53,9.68,-0.02,0.03,0.03,1019.83
11697,0.81,0.33,10.03,-0.03,0.02,0.03,1019.83
11717,0.88,0.39,10.13,-0.01,0.03,0.00,1019.84
11738,0.59,0.35,10.01,-0.03,0.04,-0.01,1019.84
11758,0.75,0.42,9.85,-0.03,0.05,0.00,1019.85
